Artist	Cover Artist	Full Title	Image Files	Plot	Publisher	Series	Writer	Issue No.	Barcode
				Move over Avengers, the Guardians got this. Star-Lord. Gamora. Drax. Rocket Raccoon. Groot and the Invincible Iron Man?! The Marvel Universe just got bigger as the legendary cosmic epic returns in the hands of superstar creators Brian Michael Bendis (Avengers, All-New X-Men) and Steve McNiven (Civil War; Old Man Logan). In this special prelude issue meet the man behind the Guardians: Star-Lord and discover how this child of Earth became the leader of the rag-taggiest of teams in all the Galaxy. All setting the stage for next month's historic Guardians of the Galaxy #1. This is the start of something big, Marvel fans.	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	0	75960607830100011
Steve Dillon; David Finch; Trevor Hairsine; Steve McNiven; Greg Land; Christian Lichtner; Bryan Hitch; Brandon Peterson; Salvador Larroca; Cary Nord; Jae Lee; Tom Raney; Adam Kubert; Andy Kubert; Ray Lai; Stuart Immonen; Mark Bagley; Michael Turner; Mark Brooks; Ben Lai; Pasqual Ferry; Harvey Tolibao; Jackson 'Butch' Guice; Joe Madureira; Scott Kolins	David Finch	Ultimatum			Marvel Comics	March On Ultimatum Saga	Stuart Vandal	0	75960606601800111
Matt Camp; Timothy Green II; Felix Ruiz	Salvador Larroca			Written by JOE CASEY Art by MATT CAMP, TIM GREEN II & FELIX RUIZ Cover by SALVADOR LARROCA IRON MAN 2! You saw the Hollywood smash - now get more of the story! Officially set in the movie universe! Iron Man, Black Widow, Nick Fury and Agent Coulson in action! Think you know S.H.I.E.L.D.? Check out what you DIDN'T see in the movie! 32 PGS./One-Shot/Rated A ?$3.99	Marvel Comics	Iron Man 2: Agents of S.H.I.E.L.D.	Joe Casey	1	75960607423500111
Luke Ross	Esad Ribic			Based on the Novel by EDGAR RICE BURROUGHS Written by PETER DAVID Art by LUKE ROSS Cover by ESAD RIBIC If you thought all the action on Mars began with the arrival of John Carter-are you in for a shock! John Carter: World of Mars is the official prequel to the upcoming Walt Disney Pictures blockbuster film releasing March 2012 and reveals the shocking events that transpire before the hotly anticipated motion picture! Plus it features some of the greatest characters ever conceived by Edgar Rice Burroughs, including Princess Dejah Thoris, the valiant, four-armed Tars Tarkas, John Carter and Burroughs himself!   Dejah Thoris has yet to meet the love of her life, but she has her hands full with the malicious Sab Than, would-be ruler of Zodanga, who sees kidnapping the princess of Mars as a short-cut to winning the thousand year war between his people and her city of Helium.  Meanwhile Tars Tarkas is not yet the leader of his people, but instead an unambitious warrior who is caught between the desires of the female he loves and his best friend who needs Tars's help to become Jeddak of the Tharks...assuming that his ambitions don't kill them all. It's a compelling tale of romance, court intrigue and an unending war on a distant world. Take an unforgettable journey to Barsoom. It's a trip you can't afford to miss! 32 PGS./Rated T+	Marvel Comics	John Carter of Mars: World of Mars	Peter David	1	75960607694900111
				It's a blast from the past as the original five students of Professor X - Cyclops, Marvel Girl, Iceman, Angel and Beast - are plucked from the past and brought to the present. But what they find, the state that their future selves are in and the state of Xavier's dream, is far from the future they dreamed of. And how will the X-Men of the present deal with their past coming crashing forward?	Marvel Comics	All-New X-Men	Brian Michael Bendis	1	75960607900100121
				- The perfect prelude to the upcoming highly-anticipated Marvel Studios film, Iron Man 3 - As Tony Stark prepares for his next venture, he tasks War Machine with a mission of his own. - War Machine faces his biggest test as a hero, while Iron Man takes on the Battle of New York!	Marvel Comics	Marvel's Iron Man 3 Prelude		1	75960607810300111
	Skottie Young			There's a new rule in the galaxy: No one touches Earth! No one!! Why has Earth become the most important planet in the Galaxy? That's what the Guardians of the Galaxy are going to find out!! Join the brightest stars in the Marvel universe: Star Lord, Gamora, Drax, Rocket Raccoon, Groot and--wait for it--Iron-Man, as they embark upon one of the most explosive and eye-opening chapters of Marvel NOW! These galactic Avengers are going to discover secrets that will rattle Marvel readers for years to come! Why wait for the movie? It all starts here!	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	1	75960607830100131
				There's a new rule in the galaxy: No one touches Earth! No one!! Why has Earth become the most important planet in the Galaxy? That's what the Guardians of the Galaxy are going to find out!! Join the brightest stars in the Marvel universe: Star Lord, Gamora, Drax, Rocket Raccoon, Groot and--wait for it--Iron-Man, as they embark upon one of the most explosive and eye-opening chapters of Marvel NOW! These galactic Avengers are going to discover secrets that will rattle Marvel readers for years to come! Why wait for the movie? It all starts here!	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	1	75960607830100111
				- What comes after 'Marvel NOW!'? Whatever it is, it starts HERE. - The vile face left movie audiences in shock after last summer's Marvel Studios' 'The Avengers' movie, but who is this eerily disturbing villain? - Thanos rises as the unrivaled rogue of wretchedness in this gripping tale of tragedy, deceit and destiny. Where did this demi-god of death and destruction come from and...more importantly what does he want? - The answers come from the incredible creative team of Jason Aaron (Wolverine, X-Men Origins) and Simone Bianchi (Wolverine, Astonishing X-Men) as they take you on journey that will not only change the course of one boy's life... ...but will soon change the very nature of the Marvel Universe.	Marvel Comics	Thanos Rising	Jason Aaron	1	75960607868400111
Steve Lieber	Marcos Martin			BRAND NEW ON-GOING! Boomerang and some of Spidey's deadliest baddies prove that with terrible powers come terrible responsibilities! Rising Star Nick Spencer teams with Eisner Award winning sensation Steve Lieber for a walk on the Spider-Verse's evil side!	Marvel Comics	The Superior Foes of Spider-Man	Nick Spencer	1	75960607941400111
Stephen Segovia	Clayton Crain			SUPERIOR SPIDER-MONTH GETS SINISTER WITH THE RETURN OF CARNAGE! - LOCKED AWAY IN AN ASYLUM, IT LOOKS LIKE CARNAGE IS GONE FOR GOOD-BUT HIS FELLOW INMATES HAVE OTHER PLANS - WILL THEY SUCCESSFULLY WAKE THE MONSTER? - OR WILL THIS HIDEOUS EXPERIMENT CREATE THE MSOT POWERFUL, DANGEROUS, MANIACAL CARNAGE YET A SUPERIOR CARNAGE? - KEVIN SHINICK (Avenging Spider-Man, Robot Chicken) and STEPHEN SEGOVIA (Extreme X-men, Thor) come together to create a story so grotesquely gratifying you wont be able to look away!	Marvel Comics	Superior Carnage	Kevin Shinick	1	75960607816500111
Leonard Kirk					Marvel Comics	Hunger (Marvel Comics)	Joshua Hale Fialkov	1	75960607958200111
Mike Henderson; Kim Jacinto	Rafa Garres			- Cletus Kasady is behind bars! The Carnage symbiote is in quarantine! But we all know that's never going to last, right? - Cletus has been evaluated and imprisoned and even lobotomized! Carnage has been sampled and cloned and poked and prodded. - But they've had enough! It's time to get the band back together! - A return to bloody, murderous form for the deadliest killer in the Marvel Universe!	Marvel Comics	Superior Carnage Annual	Cullen Bunn	1	75960608048900111
Amilcar Pinna	Kalman Andrasofsky	Age of Ultron		Ultron took over the world. - Ultron killed the heroes. - Ultron?is your father. - When you're Victor Mancha, android teen Runaway, 'daddy issues' doesn't quite cover it.	Marvel Comics	Ultron	Kathryn Immonen	1	75960607897400111
